metascore,rotten_tomatoes_rating,meta_critic_rating,budget,metascore_missing,rotten_tomatoes_rating_missing,meta_critic_rating_missing,budget_missing,total_wins,total_noms,oscar_wins,oscar_noms,bafta_wins,bafta_noms,release_date,release_year,release_month,release_day,is_weekend,is_holiday_season,movie_age,production_country_name,spoken_languages,first_billing_actor,second_billing_actor,third_billing_actor,main_director,main_writer,secondary_writer,imdb_rating,imdb_votes,title,tmdb_vote_count,tmdb_vote_average,genre_names,runtime_in_min,tmdb_popularity,production_company_name,age_rating
42.0,44.0,42.0,20000000.0,0,0,0,0,7,6,0,0,0,0,1998-10-30,1998,10,30,1,0,27,United States of America,"English,Others",James Woods,Daniel Baldwin,Sheryl Lee,John Carpenter,John Steakley,Don Jakoby,6.1,65580.0,Vampires,1250,6.305,"Action, Fantasy, Horror",108.0,20.596,"Largo Entertainment, Film Office, Spooky Tooth Productions, Storm King Productions, Columbia Pictures",R
91.0,98.0,91.0,5000000.0,0,0,0,0,34,56,34,2,0,0,1997-09-25,1997,9,25,0,0,28,Canada,English,Ian Holm,Sarah Polley,Caerthan Banks,Atom Egoyan,Russell Banks,Atom Egoyan,7.4,37131.0,The Sweet Hereafter,395,6.9,Drama,112.0,9.887,"Fine Line Features, Ego Film Arts, Alliance Films",R
19.0,0.0,19.0,70000000.0,0,0,0,0,0,5,0,0,0,0,2002-09-20,2002,9,20,1,0,23,"Germany,Others,United States of America","English,Spanish",Antonio Banderas,Lucy Liu,Talisa Soto,Wych Kaosayananda,Alan B. McElroy,Missing_data,3.7,21357.0,Ballistic: Ecks vs. Sever,366,4.3,"Action, Adventure, Thriller",91.0,17.464,"Franchise Pictures, Chris Lee Productions, MHF Erste Academy Film GmbH & Co. Produktions KG, Dante Entertainment, Epsilon Motion Pictures, Warner Bros. Pictures, Senator International",R
60.0,75.0,60.0,40000000.0,0,0,0,0,0,4,0,0,0,1,2022-09-09,2022,9,9,1,0,3,"United Kingdom,United States of America","English,Italian",Kieran Hodgson,Pearl Chanda,Gregory Cox,Tom George,Mark Chappell,Missing_data,6.5,68298.0,See How They Run,1122,6.4,"Mystery, Comedy, Crime",99.0,14.533,"Searchlight Pictures, DJ Films, TSG Entertainment",PG-13
69.0,78.0,69.0,18566556.580483902,0,0,0,1,1,5,0,0,0,0,2017-06-30,2017,6,30,1,1,8,"Canada,United States of America",English,Alison Brie,Dave Franco,Kate Micucci,Jeff Baena,Giovanni Boccaccio,Jeff Baena,5.8,26334.0,The Little Hours,572,5.8,Comedy,90.0,28.413,"Destro Films, Dublab Media, Productivity Media, Gunpowder & Sky, StarStream Media, Bow + Arrow Entertainment, Foton Pictures, Exhibit Entertainment",R
55.0,64.0,55.0,7508077.961174012,0,0,0,1,2,4,0,0,0,0,2015-02-18,2015,2,18,0,0,10,"Others,France","English,French",Alain Chabat,Jonathan Lambert,Élodie Bouchez,Quentin Dupieux,Quentin Dupieux,Missing_data,6.9,7205.0,Reality,518,7.079,Comedy,87.0,9.359,"Orange Sky, Realitism Films, Rubber Films",Unrated
46.0,41.0,46.0,33833095.17385832,0,0,0,1,0,0,0,0,0,0,2020-09-03,2020,9,3,0,0,5,"United Kingdom,United States of America",English,Liam Neeson,Kate Walsh,Jai Courtney,Mark Williams,Steve Allrich,Mark Williams,6.0,59651.0,Honest Thief,1754,6.5,"Thriller, Action, Crime",99.0,22.172,"The Solution, Dreadnought Films, Zero Gravity Management, Argonaut Entertainment Partners, Honest Thief Productions, Ingenious Media, J Cubed Film Finance, Samuel Marshall Productions, Sprockefeller Pictures, Open Road Films",PG-13
27.0,16.0,27.0,217000000.0,0,0,0,0,3,20,0,0,0,0,2017-06-16,2017,6,16,1,1,8,United States of America,English,Mark Wahlberg,Anthony Hopkins,Josh Duhamel,Michael Bay,Art Marcum,Matt Holloway,5.2,174041.0,Transformers: The Last Knight,6289,6.1,"Action, Adventure, Science Fiction",154.0,56.282,"Paramount Pictures, di Bonaventura Pictures, Ian Bryce Productions, DeSanto/Murphy Productions, Hasbro",PG-13
87.0,95.0,87.0,1700000.0,0,0,0,0,2,0,0,0,0,0,1973-03-08,1973,3,8,0,0,52,United States of America,"English,Spanish",Elliott Gould,Nina van Pallandt,Sterling Hayden,Robert Altman,Leigh Brackett,Raymond Chandler,7.5,39257.0,The Long Goodbye,650,7.408,"Mystery, Crime, Thriller",112.0,13.719,"United Artists, Lion's Gate Films",R
64.0,51.0,64.0,50000000.0,0,0,0,0,2,0,0,0,0,0,2002-08-09,2002,8,9,1,0,23,United States of America,"English,Spanish",Clint Eastwood,Jeff Daniels,Anjelica Huston,Clint Eastwood,Michael Connelly,Brian Helgeland,6.4,49021.0,Blood Work,818,6.18,"Thriller, Crime, Action, Mystery",110.0,11.487,"Malpaso Productions, Warner Bros. Pictures",R
56.0,65.0,56.0,25000000.0,0,0,0,0,1,2,0,0,0,0,2014-05-09,2014,5,9,1,0,11,"United States of America,Others","Others,English",Jon Hamm,Aasif Mandvi,Alan Arkin,Craig Gillespie,Tom McCarthy,Missing_data,7.0,48356.0,Million Dollar Arm,618,6.7,Drama,124.0,10.162,"Walt Disney Pictures, Roth Films, Mayhem Pictures",PG
10.821898612250553,50.0,10.909115986943718,3500000.0,1,0,1,0,0,2,0,0,0,0,2017-08-14,2017,8,14,0,0,8,United States of America,English,Kevin Conroy,Melissa Rauch,Paget Brewster,Sam Liu,Bruce Timm,James Krieg,5.9,15666.0,Batman and Harley Quinn,614,6.1,"Adventure, Action, Animation, Science Fiction",74.0,11.675,"DC Entertainment, Warner Bros. Animation",PG-13
86.0,94.0,86.0,3500000.0,0,0,0,0,62,109,62,1,0,0,2018-05-18,2018,5,18,1,0,7,United States of America,English,Ethan Hawke,Amanda Seyfried,Cedric The Entertainer,Paul Schrader,Paul Schrader,Missing_data,7.1,64164.0,First Reformed,1340,7.0,Drama,113.0,11.747,"Arclight Films, Omeira Studio Partners, Killer Films, Fibonacci Films, Big Indie Pictures",R
96.0,97.0,96.0,3200000.0,0,0,0,0,13,13,13,0,0,0,1968-06-12,1968,6,12,0,1,57,United States of America,English,Mia Farrow,John Cassavetes,Ruth Gordon,Roman Polanski,Ira Levin,Roman Polanski,8.0,245786.0,Rosemary's Baby,3996,7.823,"Drama, Horror, Thriller",138.0,28.643,William Castle Productions,R
28.0,47.0,28.0,10000000.0,0,0,0,0,2,2,0,0,0,0,1999-07-23,1999,7,23,1,1,26,United States of America,English,Kirsten Dunst,Denise Richards,Ellen Barkin,Michael Patrick Jann,Lona Williams,Missing_data,6.7,42058.0,Drop Dead Gorgeous,382,6.4,Comedy,98.0,10.361,"Capella International, KC Medien AG",PG-13
60.0,60.0,60.0,106000000.0,0,0,0,0,1,10,1,1,0,0,2016-02-12,2016,2,12,1,0,9,"Others,United States of America,United Kingdom","Others,English,French,German",Brad Pitt,Marion Cotillard,Jared Harris,Robert Zemeckis,Steven Knight,Missing_data,7.1,174167.0,Allied,4542,6.793,"Action, Drama, War, Romance, Thriller",124.0,22.597,"Paramount Pictures, GK Films, ImageMovers, Huahua Media",R
27.0,6.0,27.0,35000000.0,0,0,0,0,0,3,0,0,0,0,2012-11-29,2012,11,29,0,1,13,United States of America,English,Gerard Butler,Jessica Biel,Dennis Quaid,Gabriele Muccino,Robbie Fox,Missing_data,5.7,31544.0,Playing for Keeps,681,5.7,"Comedy, Romance",106.0,13.804,"Evil Twins, Millennium Media, G-BASE, Eclectic Pictures, Nu Image, Misher Films",PG-13
13.0,1.0,13.0,6000000.0,0,0,0,0,1,5,0,0,0,0,2007-08-08,2007,8,8,0,0,18,United States of America,English,Cuba Gooding Jr.,Lochlyn Munro,Richard Gant,Fred Savage,Geoff Rodkey,J. David Stem,3.2,18268.0,Daddy Day Camp,464,4.746,"Family, Comedy",89.0,9.514,"Revolution Studios, Blue Star Entertainment",PG
18.0,8.0,18.0,25000000.0,0,0,0,0,1,6,0,0,0,0,2016-04-28,2016,4,28,0,0,9,United States of America,English,Jennifer Aniston,Kate Hudson,Julia Roberts,Garry Marshall,Anya Kochoff,Matthew Walker,5.6,40707.0,Mother's Day,1270,6.0,"Comedy, Drama, Romance",118.0,11.742,"Rice Films, GulfStream Pictures, May Day Movies, Triad Film Works, Beatnik Films, Capacity Pictures, Open Road Films, PalmStar Media, Universal Pictures",PG-13
84.0,92.0,84.0,4000000.0,0,0,0,0,29,71,0,0,0,0,2012-07-02,2012,7,2,0,1,13,"Germany,France",French,Denis Lavant,Edith Scob,Eva Mendes,Leos Carax,Leos Carax,Missing_data,7.0,49664.0,Holy Motors,1164,6.997,"Drama, Fantasy",115.0,9.905,"Pierre Grise Productions, Théo Films, Pandora Filmproduktion, WDR/Arte, ARTE France Cinéma",Not Rated
58.0,60.0,58.0,90000000.0,0,0,0,0,2,3,0,0,0,0,1995-05-19,1995,5,19,1,0,30,United States of America,"English,German,Others",Bruce Willis,Jeremy Irons,Samuel L. Jackson,John McTiernan,Jonathan Hensleigh,Roderick Thorp,7.6,416962.0,Die Hard: With a Vengeance,6174,7.269,"Action, Thriller",128.0,34.752,"20th Century Fox, Cinergi Pictures, Andrew G. Vajna Productions",R
42.0,43.0,42.0,25000000.0,0,0,0,0,0,0,0,0,0,0,2011-03-03,2011,3,3,0,0,14,"United Kingdom,United States of America","Others,English",Paul Giamatti,Jason Flemyng,Brian Cox,Jonathan English,Jonathan English,Erick Kastel,6.1,44074.0,Ironclad,741,6.2,"Romance, Adventure, Action, History",121.0,10.591,"Perpetual Media Capital, Mythic International Entertainment, ContentFilm International, Premiere Picture, Rising Star Productions, Silver Reel, Wales Creative IP Fund, Molinare Investment, VIP Medienfonds 4",R
50.0,52.0,50.0,62000000.0,0,0,0,0,1,4,0,0,0,0,2018-07-19,2018,7,19,0,1,7,United States of America,"Others,English,French,Spanish",Denzel Washington,Pedro Pascal,Ashton Sanders,Antoine Fuqua,Richard Wenk,Michael Sloan,6.7,209150.0,The Equalizer 2,5455,6.768,"Action, Thriller, Crime",121.0,56.959,"Lonetree Entertainment, Fuqua Films, Escape Artists, Sony Pictures, ZHIV Productions, Mace Neufeld Productions, Columbia Pictures",R
75.0,93.0,75.0,3500000.0,0,0,0,0,3,11,0,0,0,0,1978-12-20,1978,12,20,0,1,47,United States of America,"English,French",Donald Sutherland,Brooke Adams,Jeff Goldblum,Philip Kaufman,W.D. Richter,Jack Finney,7.4,74653.0,Invasion of the Body Snatchers,1136,7.2,"Science Fiction, Horror",116.0,15.576,United Artists,PG
52.0,56.0,52.0,100000000.0,0,0,0,0,1,3,0,0,0,0,2024-06-20,2024,6,20,0,1,1,United States of America,English,Steve Carell,Kristen Wiig,Pierre Coffin,Chris Renaud,Mike White,Ken Daurio,6.2,56984.0,Despicable Me 4,2554,7.061,"Animation, Family, Comedy, Science Fiction",94.0,370.766,"Universal Pictures, Illumination",PG
53.0,55.0,53.0,600000.0,0,0,0,0,9,7,0,0,9,1,1999-06-04,1999,6,4,1,1,26,"United Kingdom,Others",English,John Simm,Lorraine Pilkington,Shaun Parkes,Justin Kerrigan,Justin Kerrigan,Missing_data,7.1,27706.0,Human Traffic,344,6.8,"Comedy, Drama",99.0,8.555,"Fruit Salad Films, Fís Éireann/Screen Ireland",R
34.0,30.0,34.0,23057496.56378414,0,0,0,1,0,0,0,0,0,0,1996-02-01,1996,2,1,0,0,29,United States of America,English,Chris Farley,David Spade,Tim Matheson,Penelope Spheeris,Fred Wolf,Missing_data,6.2,44319.0,Black Sheep,402,6.0,Comedy,87.0,10.121,Paramount Pictures,PG-13
47.0,32.0,47.0,30000000.0,0,0,0,0,0,0,0,0,0,0,2008-07-24,2008,7,24,0,1,17,"Canada,United States of America",English,David Duchovny,Gillian Anderson,Billy Connolly,Chris Carter,Frank Spotnitz,Chris Carter,5.9,94840.0,The X Files: I Want to Believe,1515,5.8,"Mystery, Science Fiction, Thriller",104.0,21.354,"Ten Thirteen Productions, Dune Entertainment III, Crying Box Productions, 20th Century Fox",PG-13
46.0,50.0,46.0,1200000.0,0,0,0,0,9,10,0,0,0,0,2004-10-01,2004,10,1,1,0,21,United States of America,English,Cary Elwes,Leigh Whannell,Danny Glover,James Wan,Leigh Whannell,James Wan,7.6,482844.0,Saw,9350,7.4,"Horror, Mystery, Crime",103.0,52.246,"Twisted Pictures, Evolution Entertainment, Saw Productions Inc.",R
10.903370907290398,60.0,10.936103864507563,20000000.0,1,0,1,0,1,2,0,0,0,0,2016-10-12,2016,10,12,0,0,9,France,"English,French,Italian",Lambert Wilson,Pierre Niney,Audrey Tautou,Jérôme Salle,Jérôme Salle,Laurent Turner,6.6,6282.0,The Odyssey,415,6.7,"Adventure, Drama",122.0,7.202,"Moana Films, Pan Européenne Production, Fidélité Films, Curiosa Films",PG
12.135883591158262,97.0,12.218440511258049,2660536.056474106,1,0,1,1,2,0,0,0,0,0,1962-04-01,1962,4,1,1,0,63,Others,"English,Spanish",Silvia Pinal,Francisco Rabal,Fernando Rey,Luis Buñuel,Julio Alejandro,Luis Buñuel,8.0,26759.0,Viridiana,510,7.641,Drama,90.0,13.184,"Unión Industrial Cinematográfica, Films 59, Producciones Gustavo Alatriste",Not Rated
65.0,63.0,65.0,9000000.0,0,0,0,0,4,12,4,1,0,0,1998-08-28,1998,8,28,1,0,27,"United Kingdom,United States of America",English,Ewan McGregor,Jonathan Rhys Meyers,Christian Bale,Todd Haynes,James Lyons,Todd Haynes,6.9,39128.0,Velvet Goldmine,506,6.9,"Drama, Music",123.0,7.422,"Zenith Entertainment, Killer Films, Single Cell Pictures, Newmarket Capital Group, Goldwyn Films, Miramax, Channel Four Films",R
46.0,39.0,46.0,45000000.0,0,0,0,0,0,4,0,0,0,0,2011-09-15,2011,9,15,0,0,14,"United Kingdom,United States of America","German,Others,English",Rowan Atkinson,Rosamund Pike,Dominic West,Oliver Parker,Hamish McColl,William Davies,6.3,143931.0,Johnny English Reborn,3326,6.235,"Crime, Action, Comedy",101.0,27.3,"Working Title Films, Working Title Films",PG
37.0,39.0,37.0,20000000.0,0,0,0,0,0,0,0,0,0,0,1985-05-22,1985,5,22,0,0,40,United States of America,English,Richard Pryor,John Candy,Lonette McKee,Walter Hill,George Barr McCutcheon,Herschel Weingrod,6.5,44392.0,Brewster's Millions,598,6.6,Comedy,97.0,11.678,"Silver Pictures, Universal Pictures, Lawrence Gordon Productions",PG
37.0,28.0,37.0,44000000.0,0,0,0,0,0,4,0,0,0,0,2010-07-30,2010,7,30,1,1,15,United States of America,English,Zac Efron,Kim Basinger,Charlie Tahan,Burr Steers,Craig Pearce,Lewis Colick,6.4,65315.0,Charlie St. Cloud,2172,7.0,"Drama, Romance",99.0,17.94,"Marc Platt Productions, Universal Pictures, Relativity Media",PG-13
43.0,49.0,43.0,48000000.0,0,0,0,0,2,2,0,0,0,0,2001-10-19,2001,10,19,1,0,24,United States of America,English,Drew Barrymore,Steve Zahn,Adam Garcia,Penny Marshall,Beverly Donofrio,Morgan Ward,6.5,30905.0,Riding in Cars with Boys,448,6.8,"Comedy, Drama, Romance",132.0,13.458,"Gracie Films, Columbia Pictures, Parkway Productions",PG-13
79.0,83.0,79.0,46000000.0,0,0,0,0,8,62,8,1,0,0,2016-12-23,2016,12,23,1,1,9,"Others,United States of America","Others,English",Andrew Garfield,Adam Driver,Liam Neeson,Martin Scorsese,Jay Cocks,Martin Scorsese,7.2,125756.0,Silence,3070,7.129,"Drama, History",161.0,27.978,"Waypoint Entertainment, Cappa Defina Productions, CatchPlay, Fábrica de Cine, SharpSword Films, Sikelia Productions, EFO Films",R
40.0,16.0,40.0,170000000.0,0,0,0,0,16,17,0,0,0,0,1999-06-30,1999,6,30,0,1,26,"United States of America,Canada",English,Will Smith,Kevin Kline,Kenneth Branagh,Barry Sonnenfeld,Jim Thomas,John Thomas,4.9,169697.0,Wild Wild West,3335,5.321,"Action, Adventure, Comedy, Science Fiction, Western",106.0,17.273,"Warner Bros. Pictures, Peters Entertainment, Sonnenfeld/Josephson Worldwide Entertainment, Todman, Simon, LeMasters Productions",PG-13
35.0,34.0,35.0,38000000.0,0,0,0,0,7,8,0,0,0,0,1993-04-07,1993,4,7,0,0,32,United States of America,English,Robert Redford,Demi Moore,Woody Harrelson,Adrian Lyne,Jack Engelhard,Amy Holden Jones,6.0,80243.0,Indecent Proposal,1448,6.4,"Romance, Drama",117.0,39.192,Paramount Pictures,R
72.0,96.0,72.0,5.0,0,0,0,0,5,14,0,0,0,0,2016-09-15,2016,9,15,0,0,9,"United Kingdom,United States of America",English,The Beatles,John Lennon,George Harrison,Ron Howard,Mark Monroe,P.G. Morgan,7.8,14010.0,The Beatles: Eight Days a Week - The Touring Years,365,7.551,"Documentary, Music",106.0,11.308,"Imagine Entertainment, Apple Corps, White Horse Pictures, Diamond Docs, Imagine Documentaries",Not Rated
71.0,72.0,71.0,660000.0,0,0,0,0,1,0,0,0,0,0,1978-08-03,1978,8,3,0,0,47,United States of America,English,Bradford Dillman,Heather Menzies-Urich,Kevin McCarthy,Joe Dante,Richard Robinson,John Sayles,5.9,25920.0,Piranha,676,5.937,"Horror, Science Fiction",94.0,13.573,"New World Pictures, Chako Film Company",R
78.0,93.0,78.0,3200000.0,0,0,0,0,20,56,0,0,0,0,2018-07-06,2018,7,6,1,1,7,United States of America,English,LaKeith Stanfield,Tessa Thompson,Jermaine Fowler,Boots Riley,Boots Riley,Missing_data,6.9,90575.0,Sorry to Bother You,1578,6.8,"Fantasy, Science Fiction, Comedy",112.0,23.309,"Cinereach, Significant Productions, MACRO, MNM Creative, The Space Program",R
12.276237131610344,92.85465827432671,12.416218564496969,4200000.0,1,1,1,0,19,11,0,0,0,0,2017-10-27,2017,10,27,1,0,8,Others,"Others,English",Çetin Tekindor,Ismail Hacioglu,Lee Kyung-jin,Can Ulkay,Yigit Güralp,Missing_data,8.2,44862.0,Ayla: The Daughter of War,364,8.0,"Drama, War, History",124.0,14.377,Dijital Sanatlar,TV-MA
12.70888800946967,98.0,15.40925999401488,700000.0,1,0,1,0,13,7,13,0,0,0,1973-05-24,1973,5,24,0,0,52,"France,Others","English,French",Jacqueline Bisset,Jean-Pierre Léaud,François Truffaut,François Truffaut,François Truffaut,Jean-Louis Richard,8.0,25226.0,Day for Night,600,7.8,"Comedy, Drama",116.0,10.358,"Les Films du Carrosse, Productions et Éditions Cinématographiques Françaises, Produzione Intercontinentale Cinematografica (PIC)",PG
11.784156872752801,75.0,11.858987813842003,29000000.0,1,0,1,0,1,5,0,0,1,2,1997-12-05,1997,12,5,1,1,28,"United Kingdom,United States of America",English,John Goodman,Jim Broadbent,Mark Williams,Peter Hewitt,Mary Norton,Gavin Scott,5.9,23992.0,The Borrowers,483,5.995,"Adventure, Fantasy, Action, Comedy, Family",87.0,19.092,"Working Title Films, PolyGram Filmed Entertainment",PG
63.0,81.0,63.0,3000000.0,0,0,0,0,9,12,0,0,9,1,1994-09-29,1994,9,29,0,0,31,"Others,France","English,Others",Toni Collette,Rachel Griffiths,Bill Hunter,P.J. Hogan,P.J. Hogan,Missing_data,7.2,43303.0,Muriel's Wedding,450,6.8,"Comedy, Drama, Romance",106.0,10.118,"CiBy 2000, Film Victoria, House & Moorhouse Films",R
68.0,83.08274490157599,68.0,100000.0,0,1,0,0,2,0,0,0,0,0,1972-03-22,1972,3,22,0,0,53,Others,Others,Bruce Lee,Nora Miao,James Tien,Wei Lo,Wei Lo,Missing_data,7.2,35200.0,Fist of Fury,961,7.2,"Drama, Action, Thriller",108.0,26.041,"Orange Sky Golden Harvest, Concord Productions",R
59.0,55.0,59.0,25421856.403914418,0,0,0,1,0,7,0,0,0,0,2007-02-09,2007,2,9,1,0,18,United States of America,"English,Spanish",Joely Richardson,Rainn Wilson,Timothy Hutton,Robert Shaye,Bruce Joel Rubin,Toby Emmerich,6.2,22458.0,The Last Mimzy,457,6.3,"Drama, Science Fiction, Adventure",94.0,10.917,"New Line Cinema, Michael Phillips Productions",PG
50.0,45.0,50.0,130000000.0,0,0,0,0,3,9,0,0,0,0,2011-11-17,2011,11,17,0,1,14,"Others,United States of America",English,Elijah Wood,Robin Williams,P!nk,George Miller,George Miller,Gary Eck,5.8,48687.0,Happy Feet Two,1624,6.168,"Animation, Comedy, Family",100.0,17.838,"Warner Bros. Pictures, Village Roadshow Pictures, Kennedy Miller Mitchell, Dr. D. Studios",PG
57.0,73.0,57.0,18000000.0,0,0,0,0,20,19,20,0,0,0,1998-09-10,1998,9,10,0,0,27,"Others,Canada,United Kingdom,United States of America","German,English,Spanish,Others,French,Italian",Carlo Cecchi,Jean-Luc Bideau,Christoph Koncz,François Girard,Don McKellar,François Girard,7.6,34821.0,The Red Violin,418,7.4,"Drama, Thriller, Mystery, Music, Romance",130.0,10.695,"Rhombus Media, New Line Cinema, Mikado Film, Téléfilm Canada, CITY-TV, Film4 Productions, Euphoria Films, Shanghai Film Studio, China Film Co-Production Corp., Salon Films, Sidecar Films & TV, Vienna Film Financing Fund",R
11.0,0.0,11.0,10000000.0,0,0,0,0,0,0,0,0,0,0,1994-06-09,1994,6,9,0,1,31,"Others,United States of America",English,G.W. Bailey,George Gaynes,Michael Winslow,Alan Metter,Neal Israel,Pat Proft,3.5,36696.0,Police Academy: Mission to Moscow,885,4.6,"Comedy, Crime",83.0,20.336,"Warner Bros. Pictures, Studio Trite",PG
27.0,13.0,27.0,34097236.99833811,0,0,0,1,0,0,0,0,0,0,1997-01-17,1997,1,17,1,0,28,United States of America,English,Chris Farley,Nicollette Sheridan,Robin Shou,Dennis Dugan,Mark Feldberg,Mitchell Klebanoff,5.6,44917.0,Beverly Hills Ninja,765,5.7,"Comedy, Action",88.0,14.471,"Motion Picture Corporation of America, TriStar Pictures",PG-13
70.0,81.0,70.0,8000000.0,0,0,0,0,50,37,50,0,0,0,2003-09-24,2003,9,24,0,0,22,"Canada,France","English,French",Rémy Girard,Dorothée Berryman,Stéphane Rousseau,Denys Arcand,Denys Arcand,Missing_data,7.5,30322.0,The Barbarian Invasions,371,7.063,"Comedy, Drama",99.0,9.68,"Astral Films, Société Radio-Canada, SODEC, Téléfilm Canada, Pyramide Productions, Cinémaginaire, CNC, Canal+, Alliance Atlantis, Vision Globale",R
45.0,64.0,45.0,55000000.0,0,0,0,0,19,44,19,0,0,0,1996-12-14,1996,12,14,1,1,29,"Others,United Kingdom,United States of America","English,Spanish",Madonna,Jonathan Pryce,Antonio Banderas,Alan Parker,Tim Rice,Alan Parker,6.3,38227.0,Evita,481,6.1,"History, Drama",135.0,8.116,"Hollywood Pictures, Cinergi Pictures, Robert Stigwood Organization, Dirty Hands Productions, Patagonik",PG
69.0,68.0,69.0,25000000.0,0,0,0,0,45,137,45,0,0,0,2006-10-26,2006,10,26,0,0,19,"France,Others,United States of America","Others,English,Spanish,French",Brad Pitt,Cate Blanchett,Gael García Bernal,Alejandro G. Iñárritu,Guillermo Arriaga,Alejandro G. Iñárritu,7.5,322031.0,Babel,3780,7.175,Drama,143.0,18.364,"Anonymous Content, Central Films, Zeta Film, MRC",R
10.919043262345832,63.190127747825656,11.018217528112617,13442285.0,1,1,1,0,2,0,0,0,0,0,2007-09-26,2007,9,26,0,0,18,France,French,Jean Dujardin,Jocelyn Quivrin,Patrick Mille,Jan Kounen,Nicolas Charlet,Bruno Lavaine,7.1,20961.0,99 Francs,736,6.612,"Drama, Comedy",105.0,10.84,"Pathé Distribution, Légende Films, ARTE France Cinéma, Canal+, CinéCinéma, Poste Image, Cofimage 18, Uni Etoile 4, Légende Entreprises",PG-13
